,0
0,2
1,7
2,7
3,8
4,10
5,4
6,5
7,8
8,5
9,5
10,10
11,4
12,9
13,10
14,13
15,12
16,14
17,15
18,10
19,13
20,12
21,10
22,10
23,7
24,7
25,21
26,21
27,18
28,24
29,23
30,24
31,33
32,42
33,42
34,52
35,43
36,54
37,37
38,53
39,62
40,67
41,71
42,81
43,89
44,100
45,107
46,110
47,126
48,136
49,142
50,175
51,190
52,193
53,196
54,216
55,281
56,302
57,302
58,351
59,360
60,398
61,415
62,393
63,395
64,413
65,413
66,406
67,447
68,421
69,376
70,377
71,385
72,368
73,355
74,350
75,347
76,334
77,333
78,354
79,341
80,336
81,366
82,373
83,367
84,354
85,370
86,401
87,414
88,444
89,429
90,391
91,388
92,377
93,361
94,336
95,304
96,269
97,235
98,234
99,234
100,211
101,199
102,183
103,158
104,130
105,119
106,125
107,135
108,118
109,107
110,108
111,104
112,84
113,81
114,78
115,60
116,63
117,61
118,65
119,67
120,55
121,51
122,52
123,56
124,62
125,52
126,55
127,46
128,48
129,41
130,50
131,43
132,42
133,37
134,34
135,37
136,30
137,31
138,37
139,38
140,34
141,41
142,42
143,44
144,39
145,30
146,28
147,32
148,35
149,32
150,37
151,30
152,32
153,34
154,29
155,40
156,41
157,27
158,31
159,36
160,32
161,32
162,38
163,43
164,40
165,42
166,33
167,26
168,25
169,31
170,31
171,34
172,29
173,30
174,25
175,16
176,29
177,14
178,23
179,28
180,16
181,20
182,30
183,33
184,31
185,28
186,24
187,26
188,20
189,23
190,21
191,24
192,24
193,26
194,36
195,31
196,25
197,24
198,29
199,30
200,30
201,27
202,25
203,29
204,33
205,36
206,30
207,35
208,32
209,24
210,22
