,0
0,9
1,6
2,6
3,6
4,7
5,5
6,7
7,7
8,8
9,7
10,9
11,10
12,14
13,15
14,21
15,22
16,18
17,22
18,24
19,27
20,32
21,37
22,26
23,24
24,23
25,22
26,21
27,22
28,24
29,28
30,23
31,24
32,26
33,33
34,38
35,42
36,50
37,55
38,63
39,57
40,73
41,75
42,71
43,73
44,95
45,94
46,101
47,101
48,97
49,108
50,108
51,116
52,95
53,112
54,113
55,123
56,135
57,139
58,133
59,110
60,114
61,132
62,151
63,171
64,176
65,176
66,178
67,171
68,193
69,198
70,231
71,232
72,243
73,247
74,263
75,297
76,314
77,352
78,397
79,371
80,400
81,452
82,473
83,527
84,549
85,623
86,587
87,590
88,583
89,576
90,599
91,551
92,577
93,557
94,573
95,548
96,490
97,491
98,526
99,519
100,467
101,470
102,451
103,429
104,430
105,444
106,444
107,423
108,393
109,385
110,350
111,369
112,401
113,391
114,384
115,379
116,345
117,327
118,297
119,277
120,276
121,262
122,241
123,210
124,191
125,187
126,177
127,177
128,154
129,152
130,141
131,133
132,132
133,124
134,119
135,122
136,113
137,116
138,104
139,103
140,114
141,118
142,120
143,119
144,111
145,108
146,110
147,106
148,100
149,100
150,106
151,115
152,108
153,100
154,43
155,101
156,98
157,106
158,93
159,86
160,93
161,93
162,88
163,100
164,97
165,97
166,101
167,104
168,83
169,84
170,79
171,74
172,62
173,57
174,58
175,27
176,56
177,62
178,51
179,52
180,51
181,46
182,45
183,45
184,45
185,45
186,45
187,40
188,35
189,34
190,40
191,36
192,41
193,39
194,41
195,40
196,45
197,47
198,45
199,46
200,32
201,39
202,40
203,44
204,44
205,35
206,41
207,42
208,39
